park,hospital,supermarket,office,school,leisure,shopping
1,1,23,272,74,214,0
1,1,23,448,65,19,0
1,1,23,22,74,214,20
1,1,23,456,74,19,0
1,1,23,472,74,19,0
1,1,23,395,74,19,0
1,1,23,134,74,19,0
1,1,23,425,65,19,0
1,1,23,447,65,19,0
1,1,23,106,74,19,0
1,1,23,62,65,19,0
1,1,23,31,74,19,0
1,1,23,493,65,19,0
1,1,23,49,74,214,20
1,1,23,80,74,214,20
1,1,23,325,74,214,20
1,1,23,29,74,19,0
1,1,23,375,65,19,0
1,1,23,356,65,19,0
1,1,23,27,74,19,0
1,1,23,133,74,214,0
1,1,23,448,65,19,0
1,1,23,332,74,214,0
1,1,23,362,74,214,20
1,1,23,299,74,214,20
1,1,23,255,65,19,0
1,1,23,45,74,19,0
1,1,23,479,74,19,0
1,1,23,281,65,19,0
1,1,23,138,65,19,0
1,1,23,464,74,19,0
1,1,23,320,65,19,0
1,1,23,188,74,19,0
1,1,23,58,65,19,0
1,1,23,190,65,19,0
1,1,23,475,65,19,0
1,1,23,69,74,19,0
1,1,23,465,74,19,0
1,1,23,69,65,19,0
1,1,23,292,74,19,0
1,1,23,236,65,19,0
1,1,23,301,74,19,0
1,1,23,507,74,19,0
1,1,23,321,65,19,0
1,1,23,460,65,19,0
1,1,23,255,74,19,0
1,1,23,99,74,214,20
1,1,23,33,65,19,0
1,1,23,204,74,214,0
1,1,23,521,65,19,0
1,1,23,221,74,214,20
1,1,23,122,65,19,0
1,1,23,183,74,19,0
1,1,23,322,74,19,0
1,1,23,465,74,214,20
1,1,23,157,65,19,0
1,1,23,189,74,214,0
1,1,23,421,74,19,0
1,1,23,285,65,19,0
1,1,23,180,74,19,0
