park,hospital,supermarket,office,school,leisure,shopping
1,2,3,362,41,15,3
1,2,3,287,41,5,3
1,2,3,325,41,15,3
1,2,3,294,41,15,3
1,2,3,376,41,15,3
1,2,3,305,41,14,3
1,2,3,192,41,14,3
1,2,3,179,41,15,3
1,2,3,49,41,5,3
1,2,3,75,41,15,3
1,2,3,335,41,15,3
1,2,3,305,41,15,3
1,2,3,75,41,5,3
1,2,3,289,41,15,3
1,2,3,76,41,15,3
1,2,3,249,41,5,3
1,2,3,54,41,5,3
1,2,3,250,41,15,3
1,2,3,1,41,15,3
1,2,3,408,41,5,3
1,2,3,152,41,40,3
1,2,3,108,41,15,3
1,2,3,128,41,5,3
1,2,3,169,41,15,3
1,2,3,191,41,15,3
1,2,3,12,41,15,3
1,2,3,264,41,15,3
1,2,3,19,41,15,3
1,2,3,264,41,15,3
1,2,3,92,41,5,3
1,2,3,5,41,15,3
1,2,3,332,41,15,3
1,2,3,183,41,15,3
1,2,3,173,41,15,3
1,2,3,229,41,15,3
1,2,3,20,41,15,3
1,2,3,70,41,40,3
1,2,3,340,41,15,3
1,2,3,322,41,15,3
1,2,3,159,41,15,3
1,2,3,91,41,15,3
1,2,3,238,41,15,3
1,2,3,81,41,15,3
1,2,3,396,41,15,3
1,2,3,144,41,15,3
1,2,3,294,41,15,3
1,2,3,376,41,5,3
1,2,3,64,41,5,3
1,2,3,315,41,15,3
1,2,3,223,41,15,3
1,2,3,71,41,15,3
1,2,3,244,41,14,3
1,2,3,201,41,5,3
1,2,3,98,41,40,3
1,2,3,369,41,40,3
1,2,3,189,41,15,3
1,2,3,79,41,15,3
1,2,3,297,41,15,3
1,2,3,56,41,5,3
1,2,3,320,41,15,3
1,2,3,226,41,15,3
1,2,3,307,41,15,3
1,2,3,242,41,15,3
1,2,3,398,41,15,3
1,2,3,213,41,15,3
1,2,3,393,41,5,3
1,2,3,269,41,15,3
1,2,3,86,41,5,3
1,2,3,322,41,5,3
1,2,3,61,41,5,3
1,2,3,276,41,15,3
1,2,3,255,41,15,3
1,2,3,363,41,40,3
1,2,3,219,41,15,3
1,2,3,244,41,5,3
1,2,3,63,41,15,3
1,2,3,218,41,15,3
1,2,3,135,41,15,3
1,2,3,394,41,5,3
1,2,3,331,41,5,3
1,2,3,151,41,15,3
1,2,3,379,41,15,3
